angle,magnitude,occurrences
0.35,0.12,243
-1.2,0.15,242
-0.32,0.13,242
-1.14,0.15,242
1.64,0.16,242
0.73,0.13,242
0.43,0.13,241
-2.18,0.13,241
-0.69,0.15,241
2.0,0.15,240
-2.36,0.14,240
-1.11,0.17,240
3.05,0.12,240
-2.75,0.14,240
-0.53,0.15,239
0.09,0.12,239
-1.83,0.17,239
-1.39,0.17,239
1.19,0.17,238
-1.19,0.17,238
-0.08,0.14,238
-0.18,0.12,238
0.24,0.13,238
-2.14,0.14,238
1.89,0.17,238
2.18,0.17,237
-0.39,0.14,237
-1.85,0.15,237
1.91,0.19,237
1.14,0.15,237
-2.36,0.15,236
0.94,0.14,236
0.83,0.16,236
1.36,0.15,236
-1.87,0.18,236
-1.08,0.18,236
2.36,0.15,236
0.63,0.14,235
1.43,0.15,235
1.04,0.15,235
1.29,0.15,235
-2.31,0.17,235
1.41,0.13,235
-0.09,0.12,234
-0.21,0.15,234
-1.23,0.16,234
1.45,0.17,234
-1.64,0.16,234
1.87,0.18,234
1.57,0.18,234
0.53,0.15,234
1.57,0.17,234
-1.51,0.18,233
-0.3,0.14,233
-2.55,0.15,233
1.31,0.17,233
1.37,0.16,233
-3.14,0.09,233
2.61,0.15,233
2.14,0.18,233
2.27,0.18,233
-1.29,0.15,233
-1.63,0.17,233
-0.73,0.14,233
-0.57,0.14,233
0.08,0.13,232
1.39,0.17,232
-1.98,0.16,232
1.45,0.18,232
1.2,0.15,231
0.79,0.15,231
-2.68,0.14,231
-0.79,0.14,231
2.55,0.15,231
0.0,0.15,231
2.04,0.19,231
3.07,0.15,231
1.08,0.16,230
-0.9,0.14,230
-1.25,0.17,230
1.77,0.16,230
2.78,0.15,230
1.86,0.19,230
2.23,0.17,229
3.06,0.14,229
-0.08,0.13,229
-3.06,0.14,229
-1.27,0.18,229
1.57,0.19,228
-2.65,0.16,228
2.31,0.17,228
-3.14,0.11,228
2.49,0.17,228
-1.04,0.15,228
-0.93,0.16,228
0.57,0.14,228
2.27,0.17,227
-0.74,0.16,227
1.95,0.17,227
0.5,0.13,227
-2.84,0.14,227
-2.53,0.13,227
-2.57,0.14,227
3.14,0.03,227
-1.18,0.2,226
1.7,0.17,226
1.82,0.18,226
-2.04,0.17,226
1.05,0.17,226
-2.23,0.17,226
-1.4,0.18,226
-1.74,0.19,225
-1.31,0.21,225
2.19,0.18,224
-0.49,0.16,224
-1.51,0.17,224
1.17,0.16,224
-0.89,0.15,224
2.64,0.13,224
-2.51,0.14,224
3.14,0.01,224
-0.4,0.16,223
1.75,0.18,223
-3.14,0.1,223
-0.64,0.16,223
2.5,0.16,223
-1.63,0.18,223
1.21,0.18,223
0.73,0.14,223
-0.95,0.18,223
2.04,0.17,223
1.69,0.18,222
-0.15,0.14,222
-0.37,0.15,222
1.33,0.18,222
2.32,0.19,222
-1.35,0.2,221
2.91,0.14,221
-0.55,0.16,221
2.16,0.15,221
-1.93,0.18,220
2.74,0.16,220
2.46,0.15,220
-1.05,0.17,220
-2.5,0.16,220
0.79,0.17,220
0.87,0.18,220
0.89,0.15,219
1.8,0.19,219
-0.83,0.16,219
0.69,0.15,219
-0.13,0.16,218
1.96,0.2,218
-1.68,0.19,218
-2.31,0.16,218
-2.32,0.19,218
-3.14,0.03,218
-0.97,0.17,218
-0.43,0.15,217
3.0,0.15,217
-1.41,0.2,217
-2.8,0.16,217
-2.01,0.18,216
2.84,0.14,216
-1.3,0.2,216
2.36,0.17,216
-1.41,0.19,216
1.47,0.2,216
0.0,0.16,216
2.24,0.19,216
2.99,0.14,216
-2.54,0.17,216
1.44,0.16,216
-2.98,0.13,216
-1.57,0.19,216
-1.57,0.21,216
2.51,0.14,216
0.37,0.15,215
-1.29,0.19,215
-2.27,0.17,215
1.76,0.17,215
-1.8,0.19,215
1.63,0.18,215
1.74,0.19,215
0.88,0.17,215
-2.18,0.17,215
3.14,0.02,214
2.65,0.16,214
0.43,0.15,214
-2.36,0.17,214
0.97,0.17,213
-1.75,0.18,213
2.94,0.16,213
2.93,0.15,213
-1.63,0.19,213
3.02,0.17,213
2.43,0.2,213
2.4,0.17,213
-1.79,0.2,213
-1.45,0.18,212
0.21,0.15,212
-0.83,0.17,212
-3.0,0.15,212
1.13,0.18,212
-3.01,0.16,211
-2.06,0.18,211
1.72,0.22,211
-0.23,0.14,211
0.95,0.18,211
-1.17,0.16,211
-2.06,0.2,211
2.4,0.19,211
-1.34,0.19,211
1.57,0.21,210
-2.86,0.15,210
-2.91,0.14,210
2.01,0.2,210
-1.86,0.19,210
2.62,0.17,210
-0.79,0.17,210
-1.69,0.18,210
2.98,0.13,210
2.8,0.16,209
2.86,0.15,209
-1.33,0.18,209
0.64,0.16,209
-1.76,0.17,209
-2.74,0.16,209
-0.52,0.17,208
1.51,0.18,208
2.06,0.18,208
-2.93,0.15,208
0.32,0.13,208
-1.21,0.18,208
-1.84,0.2,208
1.93,0.18,207
0.15,0.14,207
1.4,0.18,207
-2.14,0.18,207
-0.79,0.18,207
-1.52,0.19,207
2.71,0.15,206
0.23,0.14,206
1.97,0.22,206
0.93,0.16,206
1.34,0.19,205
1.25,0.17,205
-0.57,0.18,205
-1.47,0.21,205
1.46,0.19,205
-2.04,0.19,205
-1.36,0.21,205
1.0,0.18,205
1.11,0.19,205
1.02,0.16,204
-2.12,0.16,204
-2.4,0.19,204
2.16,0.19,204
-2.27,0.18,204
2.59,0.16,203
1.76,0.23,203
0.07,0.15,203
2.55,0.19,203
-2.71,0.15,202
-0.87,0.18,202
-2.45,0.17,202
2.57,0.18,202
-1.25,0.2,202
0.08,0.14,202
-2.88,0.17,202
2.44,0.18,202
-2.08,0.22,202
1.78,0.21,202
-0.59,0.15,202
0.14,0.15,202
-1.91,0.19,202
1.57,0.2,201
2.52,0.18,201
-3.14,0.12,201
1.27,0.18,201
2.12,0.16,201
0.34,0.16,201
1.84,0.2,201
1.18,0.2,201
1.25,0.2,201
0.59,0.15,201
1.83,0.21,200
2.68,0.17,200
-0.69,0.17,200
2.88,0.17,200
2.82,0.17,200
-3.14,0.04,200
1.63,0.17,200
-1.72,0.22,200
0.0,0.18,200
0.3,0.14,200
-0.07,0.15,199
-1.03,0.19,199
-1.23,0.19,199
